Date,Time,Open,High,Low,Close,Volume
2007.09.21,00:00,114.960,115.830,114.600,115.540,4286
2007.09.22,00:00,115.540,115.540,115.540,115.540,1
2007.09.23,00:00,115.540,115.540,115.210,115.240,361
2007.09.24,00:00,115.240,115.260,114.650,114.810,2796
2007.09.25,00:00,114.810,114.850,114.030,114.600,3676
2007.09.26,00:00,114.600,115.720,114.580,115.430,3456
2007.09.27,00:00,115.430,115.880,115.110,115.560,3196
2007.09.28,00:00,115.560,115.600,114.670,114.790,4056
2007.09.29,00:00,114.790,114.790,114.790,114.790,1
2007.09.30,00:00,114.790,114.960,114.720,114.880,391
2007.10.01,00:00,114.880,116.040,114.750,115.740,4026
2007.10.02,00:00,115.740,115.990,115.260,115.600,2586
2007.10.03,00:00,115.600,116.750,115.540,116.690,3236
2007.10.04,00:00,116.690,116.760,116.270,116.410,2866
2007.10.05,00:00,116.410,117.280,116.340,116.990,3266
2007.10.06,00:00,116.990,116.990,116.990,116.990,1
2007.10.07,00:00,116.990,117.170,116.940,117.010,441
2007.10.08,00:00,117.010,117.580,116.950,117.340,2616
2007.10.09,00:00,117.340,117.430,116.780,117.180,3286
2007.10.10,00:00,117.180,117.510,116.930,117.110,2516
2007.10.11,00:00,117.110,117.760,116.990,117.450,3146
2007.10.12,00:00,117.450,117.690,117.130,117.610,2186
2007.10.13,00:00,117.610,117.610,117.610,117.610,1
2007.10.14,00:00,117.610,117.610,117.390,117.600,431
2007.10.15,00:00,117.600,117.930,117.090,117.410,3036
2007.10.16,00:00,117.410,117.430,116.440,117.040,4416
2007.10.17,00:00,117.040,117.170,116.150,116.350,4916
2007.10.18,00:00,116.350,116.630,115.240,115.530,3906
2007.10.19,00:00,115.530,115.720,114.480,114.480,4216
2007.10.20,00:00,114.480,114.480,114.480,114.480,1
2007.10.21,00:00,114.480,114.480,113.230,113.500,1521
2007.10.22,00:00,113.500,114.620,113.370,114.370,4936
2007.10.23,00:00,114.370,115.030,114.170,114.890,4386
2007.10.24,00:00,114.890,114.940,113.810,114.020,4176
2007.10.25,00:00,114.020,114.560,113.770,114.070,3396
2007.10.26,00:00,114.070,114.550,113.960,114.190,2686
2007.10.27,00:00,114.190,114.190,114.190,114.190,1
2007.10.28,00:00,114.190,114.230,114.020,114.200,411
2007.10.29,00:00,114.200,114.900,114.040,114.680,2786
2007.10.30,00:00,114.680,114.990,114.360,114.740,2626
2007.10.31,00:00,114.740,115.480,114.520,115.390,3516
2007.11.01,00:00,115.390,115.920,114.360,114.460,4776
2007.11.02,00:00,114.460,115.400,114.430,114.820,4426
2007.11.03,00:00,114.820,114.820,114.820,114.820,1
2007.11.04,00:00,114.820,114.820,114.480,114.550,411
2007.11.05,00:00,114.550,114.810,113.990,114.340,4476
2007.11.06,00:00,114.340,114.770,114.240,114.710,2536
2007.11.07,00:00,114.710,114.770,112.050,112.630,6626
2007.11.08,00:00,112.630,113.350,112.210,112.700,4956
2007.11.09,00:00,112.700,112.880,110.500,110.660,6106
2007.11.10,00:00,110.660,110.660,110.660,110.660,1
2007.11.11,00:00,110.660,110.660,110.200,110.510,771
2007.11.12,00:00,110.510,110.780,109.110,109.580,8056
2007.11.13,00:00,109.580,111.220,109.560,111.140,5766
2007.11.14,00:00,111.140,111.750,110.740,111.270,5856
2007.11.15,00:00,111.270,111.680,110.190,110.470,5966
2007.11.16,00:00,110.470,111.320,109.760,111.070,5146
2007.11.17,00:00,111.070,111.070,111.070,111.070,1
2007.11.18,00:00,111.070,111.070,110.700,110.820,491
2007.11.19,00:00,110.820,111.070,109.610,109.750,4356
2007.11.20,00:00,109.750,110.570,109.510,109.710,5786
2007.11.21,00:00,109.710,109.810,108.230,108.350,5066
2007.11.22,00:00,108.350,109.160,108.280,108.500,3456
2007.11.23,00:00,108.500,108.600,107.530,108.280,4986
2007.11.24,00:00,108.300,108.300,108.300,108.300,1
2007.11.25,00:00,108.300,108.770,108.300,108.620,621
2007.11.26,00:00,108.620,108.750,107.200,107.370,4736
2007.11.27,00:00,107.370,109.150,107.270,108.820,7016
2007.11.28,00:00,108.820,110.460,108.250,109.950,5936
2007.11.29,00:00,109.950,110.310,109.460,109.770,4746
2007.11.30,00:00,109.770,111.200,109.680,111.190,5446
2007.12.01,00:00,111.190,111.190,111.190,111.190,1
2007.12.02,00:00,111.190,111.190,110.840,110.900,411
2007.12.03,00:00,110.900,111.000,110.120,110.450,3416
2007.12.04,00:00,110.450,110.510,109.540,109.860,3496
2007.12.05,00:00,109.860,110.960,109.750,110.880,4406
2007.12.06,00:00,110.880,111.440,110.620,111.370,4216
2007.12.07,00:00,111.370,111.770,111.160,111.670,2226
2007.12.08,00:00,111.680,111.680,111.680,111.680,1
2007.12.09,00:00,111.680,111.680,111.330,111.660,681
2007.12.10,00:00,111.660,111.910,111.450,111.820,3086
2007.12.11,00:00,111.820,112.130,110.470,110.840,4306
2007.12.12,00:00,110.840,112.460,110.780,112.010,5016
2007.12.13,00:00,112.010,112.440,111.400,112.300,4116
